"index","associated_dis","associated_dis2","country_name","dis_subtype","dis_type","disaster_no","end_date","insur_dam","iso","location","start_date","total_affected","total_dam","total_deaths"
48,"--","--","Philippines","Tropical cyclone","Storm","1971-0026","22/04/1971","0","PHL","Visayas, Palawan","22/04/1971","0","700","95"
49,"--","--","Philippines","Tropical cyclone","Storm","1971-0036","24/05/1971","0","PHL","Central","24/05/1971","32503","590","57"
50,"--","--","Philippines","Tropical cyclone","Storm","1971-0054","02/10/1971","0","PHL","Central","02/10/1971","12000","0","37"
51,"--","--","Philippines","Tropical cyclone","Storm","1971-0055","09/10/1971","0","PHL","North Luzon","09/10/1971","2008","0","57"
52,"--","--","Philippines","Tropical cyclone","Storm","1972-0015","06/01/1972","0","PHL","Visayan Islands","06/01/1972","28","23000","204"
53,"--","--","Philippines","Tropical cyclone","Storm","1972-0040","23/06/1972","0","PHL","South Luzon","23/06/1972","385000","15000","131"
54,"--","--","Philippines","Tropical cyclone","Storm","1972-0064","03/12/1972","0","PHL","South, Misamis province","03/12/1972","107650","10000","100"
55,"--","--","Philippines","Tropical cyclone","Storm","1973-0042","04/10/1973","0","PHL","Northern Luzon","04/10/1973","0","2000","26"
56,"--","--","Philippines","Tropical cyclone","Storm","1973-0044","14/10/1973","0","PHL","Central Luzon","14/10/1973","45000","5000","50"
57,"--","--","Philippines","Tropical cyclone","Storm","1973-0049","20/11/1973","0","PHL","(1) Central, (2) Capiz province","20/11/1973","3400024","0","270"
58,"--","--","Philippines","Tropical cyclone","Storm","1974-0029","08/06/1974","0","PHL","Luzon","08/06/1974","1367","1000","106"
59,"--","--","Philippines","Tropical cyclone","Storm","1974-0038","17/07/1974","0","PHL","Luzon","17/07/1974","2556","2000","21"
60,"--","--","Philippines","Tropical cyclone","Storm","1974-0051","10/10/1974","0","PHL","North Luzon","10/10/1974","7182","9200","26"
61,"--","--","Philippines","Tropical cyclone","Storm","1974-0052","15/10/1974","0","PHL","Luzon","15/10/1974","7785","11600","13"
62,"--","--","Philippines","Tropical cyclone","Storm","1974-0054","25/10/1974","0","PHL","Luzon","25/10/1974","55625","21000","23"
63,"--","--","Philippines","Tropical cyclone","Storm","1974-0056","04/11/1974","0","PHL","North Luzon","04/11/1974","24138","3200","3"
64,"--","--","Philippines","Tropical cyclone","Storm","1974-0058","23/11/1974","0","PHL","South Luzon","23/11/1974","5000","7300","11"
65,"--","--","Philippines","Tropical cyclone","Storm","1975-0077","22/01/1975","0","PHL","Mindanao","22/01/1975","5224","2161","39"
66,"--","--","Philippines","Tropical cyclone","Storm","1976-0038","17/05/1976","0","PHL","Luzon, Manila","17/05/1976","2700000","85000","274"
67,"--","--","Philippines","Tropical cyclone","Storm","1976-0086","22/06/1976","0","PHL","","22/06/1976","2812","84100","3"
68,"--","--","Philippines","Tropical cyclone","Storm","1976-0089","02/12/1976","0","PHL","","02/12/1976","1758","9326","110"
69,"--","--","Philippines","--","Storm","1977-0086","18/07/1977","0","PHL","Central, North","18/07/1977","2500","0","0"
70,"--","--","Philippines","Tropical cyclone","Storm","1977-0119","15/09/1977","0","PHL","Northern","15/09/1977","5000","800","60"
71,"--","--","Philippines","Tropical cyclone","Storm","1977-0134","14/11/1977","0","PHL","North Luzon","14/11/1977","148935","3600","40"
72,"--","--","Philippines","Tropical cyclone","Storm","1977-0155","16/07/1977","0","PHL","","16/07/1977","863","0","4"
73,"--","--","Philippines","Tropical cyclone","Storm","1977-0157","17/08/1977","0","PHL","","17/08/1977","921","25","0"
74,"--","--","Philippines","Tropical cyclone","Storm","1978-0058","22/04/1978","0","PHL","Central","22/04/1978","2500","0","0"
75,"--","--","Philippines","Tropical cyclone","Storm","1978-0124","09/10/1978","0","PHL","Manila","09/10/1978","50000","0","59"
76,"--","--","Philippines","Tropical cyclone","Storm","1978-0126","26/10/1978","0","PHL","Central Luzon, Manilla","26/10/1978","1500749","115000","340"
77,"--","--","Philippines","Tropical cyclone","Storm","1978-0158","18/04/1978","0","PHL","","18/04/1978","81842","33254","66"
78,"--","--","Philippines","Tropical cyclone","Storm","1978-0159","09/08/1978","0","PHL","Luzon (including Manila)","09/08/1978","42414","3515","49"
79,"--","--","Philippines","Tropical cyclone","Storm","1978-0160","20/08/1978","0","PHL","","20/08/1978","150943","11809","47"
80,"--","--","Philippines","Tropical cyclone","Storm","1978-0161","24/09/1978","0","PHL","","24/09/1978","23901","13989","32"
81,"--","--","Philippines","Tropical cyclone","Storm","1978-0162","07/10/1978","0","PHL","","07/10/1978","6184","11893","24"
82,"--","--","Philippines","Tropical cyclone","Storm","1978-0165","14/12/1978","0","PHL","","14/12/1978","381","624","0"
83,"--","--","Philippines","Tropical cyclone","Storm","1979-0040","15/04/1979","0","PHL","Leyte","15/04/1979","524549","10000","18"
84,"--","--","Philippines","Tropical cyclone","Storm","1979-0077","12/08/1979","0","PHL","Northern","12/08/1979","10001","0","6"
85,"--","--","Philippines","Tropical cyclone","Storm","1979-0133","09/08/1979","0","PHL","","09/08/1979","41138","6100","24"
86,"--","--","Philippines","Tropical cyclone","Storm","1979-0134","16/09/1979","0","PHL","","16/09/1979","3722","9733","8"
87,"--","--","Philippines","Tropical cyclone","Storm","1979-0137","04/11/1979","0","PHL","","04/11/1979","6111","617","6"
88,"--","--","Philippines","Tropical cyclone","Storm","1980-0067","21/07/1980","0","PHL","Northern","21/07/1980","600000","15400","31"
89,"--","--","Philippines","Tropical cyclone","Storm","1980-0070","25/07/1980","0","PHL","Cagayan Valley (Northwestern)","25/07/1980","190000","0","40"
90,"--","--","Philippines","Tropical cyclone","Storm","1980-0099","06/11/1980","0","PHL","North and Central Luzon","06/11/1980","1004000","102300","101"
91,"--","--","Philippines","Tropical cyclone","Storm","1980-0132","20/03/1980","0","PHL","","20/03/1980","665","402","4"
92,"--","--","Philippines","Tropical cyclone","Storm","1980-0133","07/05/1980","0","PHL","","07/05/1980","3063","289","0"
